"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","919","Happy Path: Verify retrieving a specific book by valid ID","Online Bookstore API Automation","Fri Feb 13 13:19:42 UTC 2026","passed","Fri Feb 13 13:19:43 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testGetBookById"
"","328","Edge Case: Verify that ID 0 returns 404","Online Bookstore API Automation","Fri Feb 13 13:19:45 UTC 2026","passed","Fri Feb 13 13:19:45 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testGetBookByZeroId"
"","320","Edge Case: Verify 404 for a non-existing book ID","Online Bookstore API Automation","Fri Feb 13 13:19:44 UTC 2026","passed","Fri Feb 13 13:19:44 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testGetInvalidBook"
"","325","Edge Case: Verify creating a book with empty title","Online Bookstore API Automation","Fri Feb 13 13:19:45 UTC 2026","passed","Fri Feb 13 13:19:45 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testCreateBookWithEmptyTitle"
"","476","Happy Path: Get all authors and verify format","Online Bookstore API Automation","Fri Feb 13 13:19:46 UTC 2026","passed","Fri Feb 13 13:19:47 UTC 2026","tests.AuthorTests","Full API Test Suite","tests.AuthorTests","testGetAllAuthors"
"","339","Happy Path: Verify deleting a book by ID","Online Bookstore API Automation","Fri Feb 13 13:19:44 UTC 2026","passed","Fri Feb 13 13:19:44 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testDeleteBook"
"","440","Performance: Verify author API response time","Online Bookstore API Automation","Fri Feb 13 13:19:49 UTC 2026","passed","Fri Feb 13 13:19:49 UTC 2026","tests.AuthorTests","Full API Test Suite","tests.AuthorTests","testAuthorsPerformance"
"","795","Happy Path: Verify successful creation of a new book","Online Bookstore API Automation","Fri Feb 13 13:19:43 UTC 2026","passed","Fri Feb 13 13:19:43 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testCreateBook"
"","608","Performance: Verify that getting all books responds within 2 seconds","Online Bookstore API Automation","Fri Feb 13 13:19:45 UTC 2026","passed","Fri Feb 13 13:19:46 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testGetAllBooksPerformance"
"","340","Happy Path: Delete author by ID","Online Bookstore API Automation","Fri Feb 13 13:19:48 UTC 2026","passed","Fri Feb 13 13:19:48 UTC 2026","tests.AuthorTests","Full API Test Suite","tests.AuthorTests","testDeleteAuthor"
"","350","Happy Path: Get author by valid ID","Online Bookstore API Automation","Fri Feb 13 13:19:47 UTC 2026","passed","Fri Feb 13 13:19:47 UTC 2026","tests.AuthorTests","Full API Test Suite","tests.AuthorTests","testGetAuthorById"
"","317","Negative: Verify mass deletion is not allowed","Online Bookstore API Automation","Fri Feb 13 13:19:49 UTC 2026","passed","Fri Feb 13 13:19:50 UTC 2026","tests.AuthorTests","Full API Test Suite","tests.AuthorTests","testDeleteAllAuthorsNotAllowed"
"","342","Happy Path: Create a new author","Online Bookstore API Automation","Fri Feb 13 13:19:47 UTC 2026","passed","Fri Feb 13 13:19:47 UTC 2026","tests.AuthorTests","Full API Test Suite","tests.AuthorTests","testCreateAuthor"
"","363","Happy Path: Verify updating an existing book with full payload","Online Bookstore API Automation","Fri Feb 13 13:19:43 UTC 2026","passed","Fri Feb 13 13:19:44 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testUpdateBook"
"","340","Edge Case: Verify that ID 0 returns 404","Online Bookstore API Automation","Fri Feb 13 13:19:48 UTC 2026","passed","Fri Feb 13 13:19:49 UTC 2026","tests.AuthorTests","Full API Test Suite","tests.AuthorTests","testGetAuthorByZeroId"
"","324","Negative: Verify that DELETE is not allowed on base URL","Online Bookstore API Automation","Fri Feb 13 13:19:46 UTC 2026","passed","Fri Feb 13 13:19:46 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testDeleteAllBooksNotAllowed"
"","336","Happy Path: Update an existing author","Online Bookstore API Automation","Fri Feb 13 13:19:47 UTC 2026","passed","Fri Feb 13 13:19:48 UTC 2026","tests.AuthorTests","Full API Test Suite","tests.AuthorTests","testUpdateAuthor"
"","333","Edge Case: Get author with non-existing ID","Online Bookstore API Automation","Fri Feb 13 13:19:48 UTC 2026","passed","Fri Feb 13 13:19:48 UTC 2026","tests.AuthorTests","Full API Test Suite","tests.AuthorTests","testGetInvalidAuthor"
"","352","Edge Case: Verify deleting a non-existing book","Online Bookstore API Automation","Fri Feb 13 13:19:44 UTC 2026","passed","Fri Feb 13 13:19:45 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testDeleteInvalidBook"
"","3033","Happy Path: Verify that all books can be retrieved","Online Bookstore API Automation","Fri Feb 13 13:19:38 UTC 2026","passed","Fri Feb 13 13:19:42 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testGetAllBooks"
